basomrade,year,cumulative_immigration_surplus,gender
1110111_brunnsgatan_n,2001,-17,both
1110111_brunnsgatan_n,2002,-2,both
1110111_brunnsgatan_n,2003,3,both
1110111_brunnsgatan_n,2004,-1,both
1110111_brunnsgatan_n,2005,3,both
1110111_brunnsgatan_n,2006,5,both
1110111_brunnsgatan_n,2007,-3,both
1110111_brunnsgatan_n,2008,-9,both
1110111_brunnsgatan_n,2009,5,both
1110111_brunnsgatan_n,2010,27,both
1110111_brunnsgatan_n,2011,17,both
1110111_brunnsgatan_n,2012,21,both
1110111_brunnsgatan_n,2013,16,both
1110111_brunnsgatan_n,2014,13,both
1110112_brunnsgatan_s,2000,28,both
1110112_brunnsgatan_s,2001,72,both
1110112_brunnsgatan_s,2002,71,both
1110112_brunnsgatan_s,2003,100,both
1110112_brunnsgatan_s,2004,92,both
1110112_brunnsgatan_s,2005,112,both
1110112_brunnsgatan_s,2006,130,both
1110112_brunnsgatan_s,2007,159,both
1110112_brunnsgatan_s,2008,173,both
1110112_brunnsgatan_s,2009,179,both
1110112_brunnsgatan_s,2010,197,both
1110112_brunnsgatan_s,2011,205,both
1110112_brunnsgatan_s,2012,239,both
1110112_brunnsgatan_s,2013,258,both
1110112_brunnsgatan_s,2014,274,both
1110120_johannes_kyrka,2000,-5,both
1110120_johannes_kyrka,2001,-47,both
1110120_johannes_kyrka,2002,-28,both
1110120_johannes_kyrka,2003,-9,both
1110120_johannes_kyrka,2004,-27,both
1110120_johannes_kyrka,2005,-31,both
1110120_johannes_kyrka,2006,-59,both
1110120_johannes_kyrka,2007,-48,both
1110120_johannes_kyrka,2008,-62,both
1110120_johannes_kyrka,2009,-64,both
1110120_johannes_kyrka,2010,-72,both
1110120_johannes_kyrka,2011,-90,both
1110120_johannes_kyrka,2012,-90,both
1110120_johannes_kyrka,2013,-102,both
1110120_johannes_kyrka,2014,-115,both
1110210_wenner_gren_center,2000,-21,both
1110210_wenner_gren_center,2001,-40,both
1110210_wenner_gren_center,2002,-82,both
1110210_wenner_gren_center,2003,-96,both
1110210_wenner_gren_center,2004,-108,both
1110210_wenner_gren_center,2005,-132,both
1110210_wenner_gren_center,2006,-168,both
1110210_wenner_gren_center,2007,-213,both
1110210_wenner_gren_center,2008,-192,both
1110210_wenner_gren_center,2009,-228,both
1110210_wenner_gren_center,2010,-211,both
1110210_wenner_gren_center,2011,-222,both
1110210_wenner_gren_center,2012,-201,both
1110210_wenner_gren_center,2013,-186,both
1110210_wenner_gren_center,2014,-171,both
1110220_vanadislunden,2000,82,both
1110220_vanadislunden,2001,99,both
1110220_vanadislunden,2002,41,both
1110220_vanadislunden,2003,18,both
1110220_vanadislunden,2004,-27,both
1110220_vanadislunden,2005,-16,both
1110220_vanadislunden,2006,-88,both
1110220_vanadislunden,2007,-136,both
1110220_vanadislunden,2008,-88,both
1110220_vanadislunden,2009,-169,both
1110220_vanadislunden,2010,-192,both
1110220_vanadislunden,2011,-195,both
1110220_vanadislunden,2012,-186,both
1110220_vanadislunden,2013,-217,both
1110220_vanadislunden,2014,-258,both
1110230_surbrunnsomradet,2000,35,both
1110230_surbrunnsomradet,2001,7,both
1110230_surbrunnsomradet,2002,-55,both
1110230_surbrunnsomradet,2003,-38,both
1110230_surbrunnsomradet,2004,-49,both
1110230_surbrunnsomradet,2005,-79,both
1110230_surbrunnsomradet,2006,-98,both
1110230_surbrunnsomradet,2007,-97,both
