municipality,year,median_income_aged_lt_20,mean_income_aged_lt_20,population_20xx_12_31,higher_education_min_3_years_percent_of_population_aged_25_64,employment_rate_aged_20_64,immigration_surplus_employed_aged_20_64,cumulative_immigration_surplus_employed_aged_20_64,immigration_surplus_min_3_years_of_higher_education_aged_25_64,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64,immigration_surplus,cumulative_immigration_surplus
0139_upplands_bro,2014,273850,291210,25287,0.200865935,0.789383562,193,750,49,492,240,670
0115_vallentuna,2000,197397,221348,25228,0.161697164,0.833333333,252,252,91,91,394,394
0115_vallentuna,2001,207420,232562,25643,0.1670839,0.83896803,189,441,49,140,183,577
0115_vallentuna,2002,216120,239513,25905,0.175008875,0.8419132020000001,62,503,60,200,5,582
0115_vallentuna,2003,221085,245182,26306,0.180557501,0.828339455,134,637,87,287,167,749
0115_vallentuna,2004,225853,250274,26889,0.187990635,0.8347312240000001,220,857,102,389,326,1075
0115_vallentuna,2005,232768,259411,27397,0.199116848,0.832540973,204,1061,107,496,249,1324
0115_vallentuna,2006,240464,267599,27868,0.20635348,0.84434664,118,1179,94,590,189,1513
0115_vallentuna,2007,251975,280453,28382,0.21578667399999998,0.853018533,168,1347,154,744,261,1774
0115_vallentuna,2008,263025,291915,28954,0.220378207,0.854490475,152,1499,89,833,288,2062
0115_vallentuna,2009,269408,300335,29361,0.22849232,0.844248531,127,1626,105,938,120,2182
0115_vallentuna,2010,274612,302090,30114,0.235928766,0.853958944,264,1890,146,1084,455,2637
0115_vallentuna,2011,282692,310801,30715,0.24778082899999998,0.856059736,192,2082,182,1266,252,2889
0115_vallentuna,2012,291742,319970,31215,0.25391414100000004,0.8604558859999999,108,2190,135,1401,166,3055
0115_vallentuna,2013,299346,326521,31616,0.259641228,0.8611594370000001,55,2245,111,1512,159,3214
0115_vallentuna,2014,305975,334918,31969,0.264740529,0.862028695,58,2303,86,1598,67,3281
0187_vaxholm,2000,198878,231620,9286,0.23004878,0.819826339,203,203,84,84,313,313
0187_vaxholm,2001,211643,246081,9470,0.23644003100000002,0.8250578390000001,42,245,28,112,82,395
0187_vaxholm,2002,220558,253543,9631,0.254593673,0.8240789709999999,22,267,49,161,51,446
0187_vaxholm,2003,225414,259382,9725,0.254344982,0.811235171,64,331,17,178,17,463
0187_vaxholm,2004,230862,269870,9904,0.262222222,0.82025579,63,394,49,227,68,531
0187_vaxholm,2005,238376,282984,10123,0.27630142,0.8270702259999999,124,518,95,322,150,681
0187_vaxholm,2006,247039,292187,10440,0.28652684,0.83366567,130,648,72,394,212,893
0187_vaxholm,2007,260977,312216,10600,0.29716729,0.8406301820000001,29,677,54,448,60,953
0187_vaxholm,2008,269618,317966,10747,0.30142857100000003,0.8395348840000001,31,708,39,487,45,998
0187_vaxholm,2009,278920,328376,11001,0.312990721,0.826108374,83,791,70,557,140,1138
0187_vaxholm,2010,283536,335776,10965,0.322080292,0.8373574779999999,-44,747,10,567,-121,1017
0187_vaxholm,2011,293363,347008,11141,0.330909091,0.8438069970000001,77,824,52,619,99,1116
0187_vaxholm,2012,301966,359680,11126,0.335660481,0.845719036,4,828,23,642,-61,1055
0187_vaxholm,2013,310407,363359,11188,0.338430361,0.8436563440000001,-2,826,17,659,-2,1053
0187_vaxholm,2014,313780,377186,11329,0.345198978,0.844147268,49,875,55,714,61,1114
0120_varmdo,2000,197664,221808,31260,0.147540062,0.82254763,529,529,182,182,620,620
0120_varmdo,2001,207393,233738,32096,0.155311556,0.824594706,383,912,158,340,503,1123
0120_varmdo,2002,216000,240415,32664,0.161593772,0.828948705,225,1137,110,450,197,1320
0120_varmdo,2003,221915,246998,33134,0.165689386,0.822703631,137,1274,85,535,115,1435
0120_varmdo,2004,228600,255012,34029,0.174600664,0.82945698,392,1666,191,726,562,1997
0120_varmdo,2005,233892,263403,34933,0.18709743899999998,0.823820617,448,2114,238,964,587,2584
0120_varmdo,2006,241392,272324,35803,0.19128710899999998,0.83445607,307,2421,86,1050,446,3030
0120_varmdo,2007,252000,285215,36870,0.20130712399999998,0.842632265,399,2820,204,1254,524,3554
0120_varmdo,2008,263398,296509,37376,0.20701841699999998,0.844581155,112,2932,117,1371,90,3644
0120_varmdo,2009,269349,300902,37756,0.20948854,0.829125317,7,2939,27,1398,-40,3604
0120_varmdo,2010,274441,305220,38301,0.21434294899999998,0.8386624579999999,183,3122,100,1498,188,3792
0120_varmdo,2011,280509,315871,38894,0.225261584,0.8411418209999999,187,3309,212,1710,242,4034
0120_varmdo,2012,287868,322761,39387,0.23187972899999998,0.844046175,121,3430,110,1820,154,4188
0120_varmdo,2013,295176,329711,39784,0.234660979,0.844741086,50,3480,71,1891,45,4233
0120_varmdo,2014,300962,339175,40541,0.240970902,0.8441364140000001,285,3765,181,2072,358,4591
0117_osteraker,2000,199903,226538,34427,0.164617521,0.8293179340000001,236,236,113,113,250,250
0117_osteraker,2001,209371,237556,35108,0.17063212,0.8281751759999999,310,546,139,252,346,596
0117_osteraker,2002,216760,244840,35633,0.17582690899999998,0.82646611,214,760,83,335,184,780
0117_osteraker,2003,221103,249506,36183,0.179879554,0.819116702,157,917,93,428,136,916
0117_osteraker,2004,226906,254959,36867,0.187573501,0.8235642390000001,214,1131,131,559,295,1211
0117_osteraker,2005,233049,265033,37336,0.19788777,0.8234547190000001,148,1279,162,721,167,1378
0117_osteraker,2006,240207,274120,37879,0.20387359800000002,0.83289053,228,1507,116,837,194,1572
0117_osteraker,2007,249583,284754,38286,0.206829173,0.8412769990000001,-10,1497,15,852,1,1573
0117_osteraker,2008,260207,296674,38720,0.210787201,0.841511638,83,1580,76,928,105,1678
0117_osteraker,2009,267008,299732,39173,0.21575106,0.827719915,54,1634,82,1010,2,1680
0117_osteraker,2010,271130,304211,39521,0.22174818899999998,0.8378937890000001,16,1650,68,1078,-31,1649
0117_osteraker,2011,276366,313366,39792,0.228693961,0.843038203,11,1661,63,1141,-63,1586
0117_osteraker,2012,283390,321094,40269,0.235030833,0.843943057,75,1736,98,1239,65,1651
0117_osteraker,2013,291438,329297,40495,0.240129128,0.8406100879999999,-26,1710,83,1322,-36,1615
0117_osteraker,2014,296386,335380,41180,0.24367894899999998,0.841040716,176,1886,106,1428,308,1923
