basomrade,year,mean_income_aged_lt_20,gender
4122240_vasbyskogen,2002,198840.27,both
4122240_vasbyskogen,2003,199653.27,both
4122240_vasbyskogen,2004,199613.18,both
4122240_vasbyskogen,2005,202462.63,both
4122240_vasbyskogen,2006,206062.44,both
4122240_vasbyskogen,2007,213628.45,both
4122240_vasbyskogen,2008,218691.78,both
4122240_vasbyskogen,2009,216435.01,both
4122240_vasbyskogen,2010,214195.99,both
4122240_vasbyskogen,2011,215125.01,both
4122240_vasbyskogen,2012,218825.4,both
4122240_vasbyskogen,2013,223773.9,both
4122240_vasbyskogen,2014,229815.12,both
4122310_korpkulla,2000,192567.76,both
4122310_korpkulla,2001,202217.91,both
4122310_korpkulla,2002,209467.26,both
4122310_korpkulla,2003,212888.07,both
4122310_korpkulla,2004,213772.4,both
4122310_korpkulla,2005,220672.07,both
4122310_korpkulla,2006,229047.94,both
4122310_korpkulla,2007,236938.12,both
4122310_korpkulla,2008,249034.37,both
4122310_korpkulla,2009,254737.34,both
4122310_korpkulla,2010,254759.54,both
4122310_korpkulla,2011,261389.95,both
4122310_korpkulla,2012,269658.99,both
4122310_korpkulla,2013,276477.79,both
4122310_korpkulla,2014,279987.85,both
4122340_vilunda,2000,142164.68,both
4122340_vilunda,2001,149721.34,both
4122340_vilunda,2002,154200.74,both
4122340_vilunda,2003,158658.17,both
4122340_vilunda,2004,158858.69,both
4122340_vilunda,2005,160029.69,both
4122340_vilunda,2006,162960.57,both
4122340_vilunda,2007,168666.64,both
4122340_vilunda,2008,173925.92,both
4122340_vilunda,2009,178867.48,both
4122340_vilunda,2010,177145.21,both
4122340_vilunda,2011,178453.35,both
4122340_vilunda,2012,180822.52,both
4122340_vilunda,2013,187755.7,both
4122340_vilunda,2014,188874.18,both
4122420_norra_smedby,2000,179624.87,both
4122420_norra_smedby,2001,187878.13,both
4122420_norra_smedby,2002,195787.27,both
4122420_norra_smedby,2003,199330.24,both
4122420_norra_smedby,2004,197644.38,both
4122420_norra_smedby,2005,197587.01,both
4122420_norra_smedby,2006,201603.73,both
4122420_norra_smedby,2007,206126.22,both
4122420_norra_smedby,2008,211433.84,both
4122420_norra_smedby,2009,216647.8,both
4122420_norra_smedby,2010,214741.61,both
4122420_norra_smedby,2011,219284.87,both
4122420_norra_smedby,2012,228700.69,both
4122420_norra_smedby,2013,229940.4,both
4122420_norra_smedby,2014,233007.45,both
4122430_sodra_smedby,2000,196588.24,both
4122430_sodra_smedby,2001,207175.7,both
4122430_sodra_smedby,2002,211899.69,both
4122430_sodra_smedby,2003,214080.95,both
4122430_sodra_smedby,2004,215102.52,both
4122430_sodra_smedby,2005,216250.14,both
4122430_sodra_smedby,2006,220567.89,both
4122430_sodra_smedby,2007,230865.66,both
4122430_sodra_smedby,2008,238146.69,both
4122430_sodra_smedby,2009,235253.64,both
4122430_sodra_smedby,2010,247619.64,both
4122430_sodra_smedby,2011,254619.97,both
4122430_sodra_smedby,2012,267717.91,both
4122430_sodra_smedby,2013,271097.21,both
4122430_sodra_smedby,2014,274969.93,both
4122520_skalby,2000,241416.75,both
4122520_skalby,2001,255994.34,both
4122520_skalby,2002,263170.93,both
4122520_skalby,2003,268435.3,both
4122520_skalby,2004,273703.66,both
4122520_skalby,2005,282045.89,both
4122520_skalby,2006,281537.36,both
4122520_skalby,2007,289911.44,both
4122520_skalby,2008,308199.39,both
4122520_skalby,2009,316670.32,both
4122520_skalby,2010,313896.94,both
4122520_skalby,2011,321345.84,both
4122520_skalby,2012,323731.1,both
4122520_skalby,2013,326908.9,both
4122520_skalby,2014,333181.7,both
4122530_carlslund,2000,184099.06,both
4122530_carlslund,2001,194305.52,both
4122530_carlslund,2002,194175.72,both
4122530_carlslund,2003,196119.03,both
4122530_carlslund,2004,195079.36,both
4122530_carlslund,2005,197530.96,both
4122530_carlslund,2006,204731.29,both
4122530_carlslund,2007,212029.09,both
4122530_carlslund,2008,223250.15,both
4122530_carlslund,2009,219290.32,both
4122530_carlslund,2010,217140.21,both
4122530_carlslund,2011,227768.9,both
4122530_carlslund,2012,237692.1,both
4122530_carlslund,2013,247115.81,both
4122530_carlslund,2014,257202.14,both
4122540_brunnby,2000,260617.98,both
4122540_brunnby,2001,275732.87,both
4122540_brunnby,2002,278533.4,both
4122540_brunnby,2003,291080.2,both
4122540_brunnby,2004,294614.32,both
4122540_brunnby,2005,313061.62,both
4122540_brunnby,2006,306314.36,both
4122540_brunnby,2007,320247.5,both
4122540_brunnby,2008,329570.47,both
4122540_brunnby,2009,333515.98,both
4122540_brunnby,2010,337099.18,both
4122540_brunnby,2011,352686.48,both
4122540_brunnby,2012,348294.82,both
4122540_brunnby,2013,342961.44,both
4122540_brunnby,2014,353728.07,both
4122600_vastra_odenslunda,2000,254385.15,both
4122600_vastra_odenslunda,2001,260452.61,both
4122600_vastra_odenslunda,2002,268307.29,both
4122600_vastra_odenslunda,2003,279240.99,both
4122600_vastra_odenslunda,2004,280639.35,both
4122600_vastra_odenslunda,2005,286642.18,both
4122600_vastra_odenslunda,2006,285996.82,both
4122600_vastra_odenslunda,2007,295422.39,both
4122600_vastra_odenslunda,2008,305152.48,both
4122600_vastra_odenslunda,2009,309434.11,both
4122600_vastra_odenslunda,2010,313552.86,both
4122600_vastra_odenslunda,2011,321933.77,both
4122600_vastra_odenslunda,2012,328245.85,both
4122600_vastra_odenslunda,2013,336933.25,both
4122600_vastra_odenslunda,2014,337278.97,both
4133110_sanda,2000,162777.97,both
4133110_sanda,2001,180856.41,both
4133110_sanda,2002,189293.69,both
4133110_sanda,2003,173545.95,both
4133110_sanda,2004,163925.22,both
4133110_sanda,2005,177909.08,both
4133110_sanda,2006,175037.74,both
4133110_sanda,2007,209561.13,both
4133110_sanda,2008,328186.95,both
4133110_sanda,2009,340781.67,both
4133110_sanda,2010,364000.95,both
4133110_sanda,2011,395603.27,both
4133110_sanda,2012,404745.68,both
4133110_sanda,2013,405773.83,both
4133110_sanda,2014,424399.03,both
4133120_ostra_odenslunda,2000,247579.91,both
4133120_ostra_odenslunda,2001,257077.46,both
4133120_ostra_odenslunda,2002,259149.84,both
4133120_ostra_odenslunda,2003,264523.04,both
4133120_ostra_odenslunda,2004,263458.83,both
4133120_ostra_odenslunda,2005,273825.04,both
4133120_ostra_odenslunda,2006,279560.96,both
4133120_ostra_odenslunda,2007,293209.55,both
4133120_ostra_odenslunda,2008,309543.54,both
4133120_ostra_odenslunda,2009,310568.37,both
4133120_ostra_odenslunda,2010,317530.4,both
4133120_ostra_odenslunda,2011,324956.57,both
4133120_ostra_odenslunda,2012,329313.89,both
4133120_ostra_odenslunda,2013,335050.14,both
4133120_ostra_odenslunda,2014,338459.42,both
4133200_frestaby,2000,253981.34,both
4133200_frestaby,2001,267912.08,both
4133200_frestaby,2002,279381.83,both
4133200_frestaby,2003,280672.98,both
4133200_frestaby,2004,288645.32,both
4133200_frestaby,2005,303109.72,both
4133200_frestaby,2006,309095.03,both
4133200_frestaby,2007,324592.74,both
4133200_frestaby,2008,337018.61,both
4133200_frestaby,2009,341737.01,both
4133200_frestaby,2010,340312.16,both
4133200_frestaby,2011,351779.05,both
4133200_frestaby,2012,355048.13,both
4133200_frestaby,2013,363486.74,both
4133200_frestaby,2014,367911.94,both
4133310_vastra_bollstanas,2000,271244.74,both
4133310_vastra_bollstanas,2001,285628.86,both
4133310_vastra_bollstanas,2002,292411.1,both
4133310_vastra_bollstanas,2003,306933.53,both
4133310_vastra_bollstanas,2004,310160.61,both
4133310_vastra_bollstanas,2005,318239.75,both
4133310_vastra_bollstanas,2006,327298.86,both
4133310_vastra_bollstanas,2007,338239.93,both
4133310_vastra_bollstanas,2008,344913.59,both
4133310_vastra_bollstanas,2009,342792.82,both
4133310_vastra_bollstanas,2010,346398.03,both
4133310_vastra_bollstanas,2011,348187.59,both
4133310_vastra_bollstanas,2012,357146.36,both
4133310_vastra_bollstanas,2013,363737.94,both
4133310_vastra_bollstanas,2014,370345.2,both
4133330_ostra_bollstanas,2000,262042.66,both
4133330_ostra_bollstanas,2001,275217.75,both
4133330_ostra_bollstanas,2002,282718.8,both
4133330_ostra_bollstanas,2003,288280.46,both
4133330_ostra_bollstanas,2004,300058.05,both
4133330_ostra_bollstanas,2005,308432.63,both
4133330_ostra_bollstanas,2006,320863.63,both
4133330_ostra_bollstanas,2007,334510.55,both
4133330_ostra_bollstanas,2008,347000.79,both
4133330_ostra_bollstanas,2009,345571.55,both
4133330_ostra_bollstanas,2010,352217.15,both
4133330_ostra_bollstanas,2011,356028.56,both
4133330_ostra_bollstanas,2012,362887.8,both
4133330_ostra_bollstanas,2013,368034.88,both
4133330_ostra_bollstanas,2014,376071.55,both
4133350_sodra_bollstanas,2000,263912.16,both
4133350_sodra_bollstanas,2001,283314.85,both
4133350_sodra_bollstanas,2002,286715.02,both
4133350_sodra_bollstanas,2003,300299.08,both
4133350_sodra_bollstanas,2004,300890.38,both
4133350_sodra_bollstanas,2005,314525.01,both
4133350_sodra_bollstanas,2006,329430.06,both
4133350_sodra_bollstanas,2007,349499.09,both
4133350_sodra_bollstanas,2008,362542.56,both
4133350_sodra_bollstanas,2009,363253.19,both
4133350_sodra_bollstanas,2010,376493.41,both
4133350_sodra_bollstanas,2011,395689.83,both
4133350_sodra_bollstanas,2012,403052.61,both
4133350_sodra_bollstanas,2013,409545.71,both
4133350_sodra_bollstanas,2014,411827.34,both
4133910_fresta_norra_glesbygd,2000,234524.41,both
4133910_fresta_norra_glesbygd,2001,251080.99,both
4133910_fresta_norra_glesbygd,2002,270031.63,both
4133910_fresta_norra_glesbygd,2003,289749.57,both
4133910_fresta_norra_glesbygd,2004,298744.57,both
4133910_fresta_norra_glesbygd,2005,302705.94,both
4133910_fresta_norra_glesbygd,2006,319588.79,both
4133910_fresta_norra_glesbygd,2007,347233.29,both
4133910_fresta_norra_glesbygd,2008,353278.37,both
4133910_fresta_norra_glesbygd,2009,352463.63,both
4133910_fresta_norra_glesbygd,2010,360099.15,both
4133910_fresta_norra_glesbygd,2011,384507.17,both
4133910_fresta_norra_glesbygd,2012,395036.4,both
4133910_fresta_norra_glesbygd,2013,397882.84,both
4133910_fresta_norra_glesbygd,2014,398061.29,both
4133920_fresta_sodra_glesbygd,2000,234670.88,both
4133920_fresta_sodra_glesbygd,2001,213917.64,both
4133920_fresta_sodra_glesbygd,2002,236379.36,both
4133920_fresta_sodra_glesbygd,2003,244428.1,both
4133920_fresta_sodra_glesbygd,2004,264606.47,both
4133920_fresta_sodra_glesbygd,2005,265453.77,both
4133920_fresta_sodra_glesbygd,2006,270868.1,both
4133920_fresta_sodra_glesbygd,2007,276255.52,both
4133920_fresta_sodra_glesbygd,2008,267612.91,both
4133920_fresta_sodra_glesbygd,2009,295644.3,both
4133920_fresta_sodra_glesbygd,2010,295099.9,both
4133920_fresta_sodra_glesbygd,2011,290790.66,both
